id,utility_on_time_ratio,utility_missed_payment_rate,utility_amount_volatility,utility_observation_months,telecom_recharge_regularity,telecom_account_tenure_months,telecom_failed_payment_rate,wallet_inflow_regularity,wallet_outflow_volatility,wallet_balance_stability,wallet_failed_transaction_rate,bill_payment_consistency,simulated_repayment_ratio,simulated_days_late_average,cash_flow_coverage,income_stability,expense_volatility,negative_balance_days,account_age_months,data_completeness,synthetic_audit_group,simulated_repayment_success
synthetic-00338,0.5894,0.1271,0.3094,12,0.7062,54,0.0556,0.6986,0.3095,0.6422,0.0202,0.6974,0.6813,2,0.7183,0.6257,0.3917,2,60,1,Synthetic Region Group B,1
synthetic-00339,0.4516,0.1118,0.4471,12,0.5382,51,0.0504,0.4432,0.4499,0.4293,0.0871,0.5653,0.5643,3,0.5171,0.4346,0.3065,4,46,1,Synthetic Region Group C,1
synthetic-00340,0.5206,0.0545,0.3579,7,0.6354,57,0.0709,0.6033,,,0.0332,,0.659,1,,,,,57,0.65,Synthetic Region Group D,1
synthetic-00341,0.8693,0.0103,0.3334,12,,,,0.8781,0.3504,0.7837,0.0799,0.7695,0.8019,0,0.7774,0.8414,0.2445,0,70,0.85,Synthetic Region Group A,1
synthetic-00342,0.7336,0.0876,0.3198,12,0.7309,55,0.0536,0.602,0.2735,0.6153,0.0718,0.7391,0.6482,4,0.6743,0.647,0.3398,2,52,1,Synthetic Region Group B,1
synthetic-00343,0.5628,0.0808,0.331,12,0.5304,43,0.1153,0.5468,0.3774,0.4341,0.0672,0.4263,0.5588,8,0.4842,0.5076,0.3941,4,42,1,Synthetic Region Group C,0
synthetic-00344,0.5118,0.1414,0.3598,7,0.648,55,0.1118,,0.332,0.5507,,0.5222,,,0.4995,0.5944,0.293,4,56,0.8,Synthetic Region Group D,0
synthetic-00345,0.8375,0.1077,0.2782,12,0.7954,68,0.0287,0.8123,0.308,0.8045,0.0463,0.8012,0.7996,0,0.8515,0.8662,0.299,0,71,1,Synthetic Region Group A,1
synthetic-00346,0.6168,0.0431,0.3708,12,0.5979,56,0.0325,0.7071,0.3155,0.7273,0.0512,0.6993,0.5847,3,0.6426,0.6511,0.2821,0,56,1,Synthetic Region Group B,1
synthetic-00347,0.498,0.1499,0.4435,12,0.4293,53,0.1137,0.5454,0.3929,0.4993,0.1075,0.4549,0.5681,5,0.5798,0.4337,0.4376,5,46,1,Synthetic Region Group C,0
synthetic-00348,0.5878,0.0433,0.3496,7,0.5097,48,0.1238,,0.4184,0.536,,0.5227,0.5998,5,0.5295,0.5976,0.3406,0,54,0.9,Synthetic Region Group D,1
synthetic-00349,0.7678,0.0395,0.2767,12,0.7895,68,0.0134,0.7576,0.3184,0.8925,0.0836,0.8899,0.8195,0,0.868,0.8218,0.3519,0,62,1,Synthetic Region Group A,1
synthetic-00350,0.7156,0.1054,0.3158,12,0.5822,57,0.1107,0.7386,0.2998,0.6226,0.0399,0.6169,0.6815,2,0.6897,0.6736,0.2995,0,54,1,Synthetic Region Group B,1
synthetic-00351,0.5094,0.1234,0.3235,12,0.4369,42,0.0967,0.5192,0.362,0.4656,0.1037,0.5772,0.5513,6,0.4327,0.4263,0.4053,2,44,1,Synthetic Region Group C,0
synthetic-00352,0.5058,0.1507,0.4212,7,0.529,58,0.1231,,0.3411,0.6396,,0.6591,0.5965,1,0.5985,0.599,0.4081,0,50,0.9,Synthetic Region Group D,1
synthetic-00353,0.7396,0.0683,0.3423,12,0.7537,58,0.0247,0.7554,0.3455,0.8298,0.0946,0.8747,0.821,0,0.834,0.8537,0.2172,0,62,1,Synthetic Region Group A,1
synthetic-00354,0.5944,0.086,0.3735,12,0.7097,50,0.0398,0.6973,0.4073,0.5795,0.0795,0.7315,0.6905,0,0.6102,0.701,0.4074,1,59,1,Synthetic Region Group B,1
synthetic-00355,0.4869,0.1138,0.3478,12,0.546,48,0.09,0.4312,,,0.0518,0.4956,0.4544,7,0.449,0.5809,0.3209,5,46,0.9,Synthetic Region Group C,0
synthetic-00356,0.6412,0.0963,0.2949,7,0.5715,49,0.1241,0.5751,0.4235,0.5793,0.1182,,0.5656,1,,,,,48,0.75,Synthetic Region Group D,1
synthetic-00357,0.857,0.1156,0.2231,12,0.8968,65,0.0758,0.7439,0.2677,0.8515,0.019,0.8774,0.7563,0,0.7973,0.7881,0.3201,0,64,1,Synthetic Region Group A,1
synthetic-00358,0.6197,0.0431,0.3598,12,0.6352,61,0.0553,0.7252,0.2763,0.5866,0.0417,0.6235,0.7042,1,0.5984,0.6122,0.4021,0,60,1,Synthetic Region Group B,1
synthetic-00359,0.4863,0.0721,0.4382,12,0.4721,51,0.121,0.4231,0.4239,0.5503,0.1304,0.487,0.5592,5,0.4375,0.4749,0.4506,5,46,1,Synthetic Region Group C,0
synthetic-00360,0.6279,0.1047,0.3361,7,0.6001,52,0.0756,,0.4374,0.5055,,0.5899,0.5049,5,0.6556,0.6156,0.3575,0,54,0.9,Synthetic Region Group D,1
synthetic-00361,0.8135,0.0277,0.2584,12,0.7473,67,0.0592,0.8374,0.2593,0.8117,0.0345,0.7506,0.8724,0,0.7557,0.8489,0.3576,0,64,1,Synthetic Region Group A,1
synthetic-00362,0.726,0.1165,0.3072,12,0.6952,50,0.0489,0.7035,0.2742,0.6623,0.0151,0.6153,0.6266,1,0.6603,0.7122,0.3267,1,53,1,Synthetic Region Group B,1
synthetic-00363,0.4213,0.0587,0.3366,12,0.5205,48,0.13,0.5464,0.3556,0.5673,0.0803,0.5288,0.5669,4,0.559,0.4974,0.4132,4,45,1,Synthetic Region Group C,1
synthetic-00364,0.5915,0.1179,0.3293,7,0.6253,51,0.1213,,0.286,0.5518,,,0.6382,5,,,,,49,0.65,Synthetic Region Group D,0
synthetic-00365,0.7645,0.0777,0.3476,12,0.8941,61,0.066,0.7402,0.3177,0.7696,0.1024,0.8827,0.7808,0,0.781,0.8121,0.2464,0,64,1,Synthetic Region Group A,1
synthetic-00366,0.7081,0.0342,0.2972,12,0.5814,57,0.0801,0.7277,0.41,0.7279,0.1056,0.7304,,,0.5933,0.6512,0.3641,2,56,0.9,Synthetic Region Group B,1
synthetic-00367,0.5195,0.139,0.3937,12,0.5029,53,0.133,0.4433,,,0.1082,0.4658,0.4827,3,0.4998,0.5719,0.423,2,44,0.9,Synthetic Region Group C,1
synthetic-00368,0.6472,0.1452,0.3278,7,0.6267,47,0.0455,,0.2975,0.5981,,0.6134,0.5622,3,0.6269,0.598,0.412,0,51,0.9,Synthetic Region Group D,1
synthetic-00369,0.8489,0.0526,0.1893,12,0.8883,59,0.035,0.7943,0.2819,0.7928,0.0746,0.8505,0.8022,0,0.775,0.8994,0.2161,0,63,1,Synthetic Region Group A,1
synthetic-00370,0.7125,0.0956,0.2543,12,0.6538,61,0.0474,0.6087,0.4033,0.7315,0.0861,,0.5815,3,,,,,56,0.75,Synthetic Region Group B,1
synthetic-00371,0.5547,0.1009,0.3108,12,0.5481,45,0.1038,0.5329,0.3807,0.4833,0.1365,0.4723,0.5323,6,0.4864,0.5349,0.3682,2,45,1,Synthetic Region Group C,0
synthetic-00372,0.5822,0.0435,0.3404,7,,,,,0.3696,0.6443,,,,,,,,,48,0.4,Synthetic Region Group D,0
synthetic-00373,0.8026,0.0259,0.1968,12,0.8856,64,0.0692,0.7909,0.3327,0.7573,0.0419,0.7496,0.8139,0,0.8043,0.8957,0.2569,0,65,1,Synthetic Region Group A,1
synthetic-00374,0.6497,0.0631,0.36,12,0.6957,61,0.0458,0.588,0.2777,0.5964,0.12,0.6034,0.7267,4,0.6277,0.5935,0.2734,0,55,1,Synthetic Region Group B,1
synthetic-00375,0.4967,0.105,0.3771,12,0.4514,51,0.0808,0.5469,0.3428,0.4912,0.0753,0.5005,0.4992,7,0.5702,0.5243,0.3474,5,42,1,Synthetic Region Group C,0
synthetic-00376,,,,,0.6221,51,0.0876,0.591,0.4259,0.6463,0.0313,0.5231,,,0.5153,0.5603,0.3724,3,53,0.7,Synthetic Region Group D,0
synthetic-00377,0.8111,0.1,0.3473,12,0.7467,69,0.0539,0.8849,0.2176,0.8283,0.019,0.8153,0.8167,0,0.8336,0.7899,0.2657,0,69,1,Synthetic Region Group A,1
synthetic-00378,0.7285,0.0926,0.3531,12,0.7263,56,0.1044,0.7374,0.354,0.6418,0.1068,0.6069,0.7172,0,0.6423,0.7129,0.2881,1,55,1,Synthetic Region Group B,1
synthetic-00379,0.491,0.1579,0.3386,12,0.5485,42,0.1201,0.5206,0.3143,0.4819,0.1176,0.5524,0.5583,5,0.4412,0.4295,0.4091,4,51,1,Synthetic Region Group C,0
synthetic-00380,0.6073,0.0961,0.4166,7,0.5128,56,0.1034,0.5934,0.38,0.5165,0.1163,0.6309,0.5179,3,0.5908,0.6071,0.3931,3,53,1,Synthetic Region Group D,1
synthetic-00381,0.774,0.0593,0.214,12,,,,0.841,0.2465,0.8477,0.0848,0.8314,0.7874,0,0.8802,0.7402,0.2879,0,67,0.85,Synthetic Region Group A,1
synthetic-00382,0.6213,0.0536,0.2877,12,0.7037,62,0.0893,0.6885,0.3505,0.5945,0.0663,0.6723,,,0.6568,0.6289,0.3582,0,52,0.9,Synthetic Region Group B,1
synthetic-00383,0.5294,0.1329,0.4023,12,0.5655,51,0.052,0.5634,0.3923,0.572,0.0888,0.5021,0.4734,4,0.4944,0.452,0.3676,2,44,1,Synthetic Region Group C,1
synthetic-00384,0.573,0.046,0.3289,7,0.6595,54,0.0986,,0.3457,0.543,,0.6156,,,0.5732,0.658,0.319,4,49,0.8,Synthetic Region Group D,0
synthetic-00385,0.856,0.0629,0.3207,12,0.751,59,0.0983,0.8294,0.3247,0.8127,0.0912,0.829,0.8462,0,0.8307,0.861,0.3308,0,68,1,Synthetic Region Group A,1
synthetic-00386,0.6977,0.0348,0.3091,12,0.7403,54,0.0575,0.6297,0.3828,0.6472,0.1111,0.6143,0.7327,0,0.5909,0.7006,0.3747,3,55,1,Synthetic Region Group B,1
synthetic-00387,0.5689,0.0929,0.385,12,0.4372,45,0.1227,0.4468,0.3876,0.4646,0.1199,0.5373,0.5391,4,0.4969,0.5022,0.4176,5,48,1,Synthetic Region Group C,1
synthetic-00388,0.5738,0.146,0.2858,7,0.5238,51,0.1192,0.6177,0.3433,0.607,0.0276,0.5781,0.6086,5,0.5472,0.63,0.3687,0,54,1,Synthetic Region Group D,1
synthetic-00389,0.7563,0.0448,0.206,12,0.8172,62,0.0366,0.7943,,,0.0224,0.7726,0.8817,0,0.7439,0.7682,0.267,0,63,0.9,Synthetic Region Group A,1
synthetic-00390,0.6538,0.0544,0.3921,12,0.706,52,0.1111,0.6848,0.39,0.7238,0.0529,0.7107,,,0.6495,0.5886,0.4081,1,59,0.9,Synthetic Region Group B,1
synthetic-00391,0.5696,0.0622,0.3721,12,0.4673,44,0.1077,0.4316,0.4201,0.5576,0.058,0.4528,0.5477,8,0.4595,0.4623,0.3464,4,52,1,Synthetic Region Group C,0
synthetic-00392,0.5648,0.1301,0.4163,7,0.6371,51,0.0665,,0.358,0.5192,,0.5857,0.6562,3,0.655,0.5782,0.3816,2,51,0.9,Synthetic Region Group D,1
synthetic-00393,0.7506,0.1013,0.3116,12,0.8562,63,0.074,0.8323,0.3495,0.7793,0.0903,0.8453,0.7935,0,0.8105,0.8684,0.2972,0,66,1,Synthetic Region Group A,1
synthetic-00394,0.715,0.0978,0.2903,12,0.669,60,0.0775,0.5845,0.3916,0.7186,0.045,0.721,0.6779,2,0.6566,0.5962,0.2979,0,57,1,Synthetic Region Group B,1
synthetic-00395,0.4396,0.0806,0.4318,12,0.5426,43,0.1442,0.4545,0.3682,0.5267,0.1276,0.4373,0.5586,3,0.4257,0.4739,0.3937,3,50,1,Synthetic Region Group C,1
synthetic-00396,0.5138,0.1337,0.3126,7,0.6352,49,0.0651,0.5096,0.2781,0.5656,0.0471,0.5281,0.5359,6,0.6255,0.5558,0.3351,1,51,1,Synthetic Region Group D,1
synthetic-00397,0.8077,0.1052,0.3203,12,0.8377,69,0.023,0.7619,0.3002,0.7909,0.0312,0.8046,0.8236,0,0.9001,0.8864,0.3484,0,64,1,Synthetic Region Group A,1
synthetic-00398,0.5967,0.0713,0.3425,12,0.6395,58,0.0857,0.6137,,,0.1195,0.7336,0.6956,4,0.6619,0.5997,0.3015,0,60,0.9,Synthetic Region Group B,1
synthetic-00399,0.5071,0.099,0.427,12,0.4454,49,0.1301,0.5405,0.3769,0.486,0.0453,0.5202,0.5363,5,0.4981,0.5495,0.4097,2,46,1,Synthetic Region Group C,1
synthetic-00400,0.5134,0.128,0.3857,7,0.5718,56,0.0916,0.5725,,,0.0256,0.6193,,,0.6262,0.6013,0.3215,3,52,0.8,Synthetic Region Group D,0
synthetic-00401,0.7962,0.0144,0.1922,12,0.8606,68,0.0715,0.7896,0.3239,0.7731,0.0518,0.8368,0.8039,0,0.7995,0.7843,0.275,0,65,1,Synthetic Region Group A,1
synthetic-00402,0.6462,0.0401,0.3939,12,,,,0.583,0.3728,0.6201,0.0619,0.7342,0.6876,1,0.6119,0.5986,0.2523,0,61,0.85,Synthetic Region Group B,1
synthetic-00403,0.515,0.0626,0.3217,12,0.4768,45,0.1159,0.4201,0.3616,0.4495,0.0411,0.5387,0.4623,7,0.4317,0.4945,0.3862,4,45,1,Synthetic Region Group C,0
synthetic-00404,0.6178,0.1424,0.3279,7,0.6399,56,0.0631,,0.4114,0.6177,,0.6334,,,0.6079,0.6556,0.3971,3,54,0.8,Synthetic Region Group D,1
synthetic-00405,0.8465,0.0732,0.2035,12,0.7865,67,0.0298,0.7613,0.2073,0.8641,0.0195,0.8535,0.8959,0,0.7744,0.7534,0.2962,0,66,1,Synthetic Region Group A,1
synthetic-00406,0.7209,0.0351,0.3294,12,0.7036,61,0.0778,0.5954,,,0.0689,0.7315,0.7354,1,0.579,0.6672,0.3948,1,59,0.9,Synthetic Region Group B,1
synthetic-00407,0.4474,0.1254,0.4324,12,0.4199,45,0.1416,0.5228,,,0.1234,0.4382,0.4223,6,0.4564,0.5444,0.3486,4,51,0.9,Synthetic Region Group C,0
synthetic-00408,0.6357,0.0893,0.4069,7,0.6444,56,0.1082,0.5852,,,0.1086,0.6221,0.6128,3,0.5391,0.6172,0.3669,4,51,0.9,Synthetic Region Group D,1
synthetic-00409,0.8332,0.0727,0.2946,12,0.8583,69,0.0849,0.7672,0.2837,0.8112,0.0531,0.8435,0.8723,0,0.7472,0.8613,0.3265,0,70,1,Synthetic Region Group A,1
synthetic-00410,0.7368,0.1218,0.3539,12,0.7038,61,0.0889,0.7013,0.2682,0.6695,0.0962,0.6181,0.5946,1,0.5845,0.6418,0.2496,1,53,1,Synthetic Region Group B,1
synthetic-00411,0.4542,0.0709,0.3962,12,0.5616,54,0.1185,0.5305,0.4381,0.4654,0.0476,0.4972,0.5387,7,0.4841,0.5786,0.3366,2,49,1,Synthetic Region Group C,0
synthetic-00412,,,,,0.5076,46,0.0789,,,,,0.6582,,,0.5698,0.5895,0.4124,3,48,0.5,Synthetic Region Group D,0
synthetic-00413,0.8758,0.0215,0.3183,12,0.8866,59,0.0141,0.7958,0.2948,0.7721,0.068,0.7947,0.7507,1,0.8785,0.8527,0.2615,0,66,1,Synthetic Region Group A,1
synthetic-00414,0.7087,0.0467,0.3181,12,0.7376,56,0.0987,0.622,0.2547,0.6015,0.051,0.7235,0.6154,4,0.7153,0.7338,0.3936,0,52,1,Synthetic Region Group B,1
synthetic-00415,0.428,0.0713,0.3937,12,0.5187,45,0.1161,0.5315,0.4137,0.5331,0.1154,0.4957,0.468,3,0.4409,0.5633,0.3707,3,50,1,Synthetic Region Group C,0
synthetic-00416,,,,,0.5492,56,0.0464,,,,,0.5053,0.5253,5,0.6539,0.5489,0.3162,1,56,0.6,Synthetic Region Group D,1
synthetic-00417,0.7736,0.0481,0.3319,12,0.8517,63,0.0275,0.7799,0.1973,0.8203,0.0611,0.876,0.7669,0,0.7915,0.8904,0.258,0,66,1,Synthetic Region Group A,1
synthetic-00418,0.7066,0.0946,0.3594,12,0.7117,51,0.123,0.7115,0.292,0.5934,0.0967,0.6945,0.6577,1,0.7235,0.6355,0.3563,0,55,1,Synthetic Region Group B,1
synthetic-00419,0.5111,0.1595,0.3937,12,0.443,43,0.0861,0.507,0.4526,0.4429,0.07,0.5529,,,0.4565,0.5232,0.3588,3,47,0.9,Synthetic Region Group C,0
synthetic-00420,0.5815,0.0948,0.4139,7,0.5384,47,0.0433,,,,,0.6171,,,0.5358,0.5116,0.3109,1,49,0.7,Synthetic Region Group D,0
synthetic-00421,0.7839,0.0687,0.2481,12,0.7661,67,0.0972,0.9008,0.2524,0.8144,0.0095,0.7826,0.7514,0,0.8152,0.8577,0.3326,0,64,1,Synthetic Region Group A,1
synthetic-00422,0.5952,0.128,0.245,12,0.6971,61,0.0688,0.7315,0.3134,0.5969,0.0439,0.6737,0.664,0,0.618,0.6389,0.2982,0,54,1,Synthetic Region Group B,1
synthetic-00423,0.556,0.1216,0.3371,12,0.4386,46,0.1376,,0.4448,0.5444,,0.4366,0.4324,5,0.4202,0.5448,0.3565,5,47,0.9,Synthetic Region Group C,0
synthetic-00424,0.6252,0.0979,0.3517,7,,,,0.586,0.4347,0.51,0.0479,0.5536,0.5272,3,0.5503,0.5623,0.3054,1,47,0.85,Synthetic Region Group D,1
synthetic-00425,0.8102,0.0138,0.3363,12,0.8214,68,0.0936,0.7542,0.3389,0.744,0.0054,0.844,0.7766,0,0.7409,0.8328,0.2025,0,65,1,Synthetic Region Group A,1
synthetic-00426,0.7022,0.0437,0.311,12,0.7397,61,0.1066,0.7295,0.3963,0.7041,0.0237,0.7212,0.5858,2,0.639,0.623,0.2822,1,58,1,Synthetic Region Group B,1
synthetic-00427,0.4611,0.1301,0.4051,12,0.4649,46,0.1049,0.4529,0.3244,0.5423,0.0429,0.4415,,,0.4265,0.5225,0.3322,4,46,0.9,Synthetic Region Group C,0
synthetic-00428,0.5674,0.0447,0.3407,7,0.6573,51,0.1205,0.6281,0.3462,0.5907,0.0706,0.6409,0.5011,1,0.5316,0.6377,0.4165,1,57,1,Synthetic Region Group D,1
synthetic-00429,0.8288,0.1098,0.3397,12,0.8312,57,0.0834,0.7811,0.32,0.7667,0.0758,0.8676,0.8357,1,0.8645,0.8954,0.3078,0,68,1,Synthetic Region Group A,1
synthetic-00430,0.624,0.042,0.2854,12,0.6549,53,0.0994,0.5969,0.3207,0.6613,0.1139,0.6245,,,0.5954,0.6424,0.2779,1,56,0.9,Synthetic Region Group B,1
synthetic-00431,0.4416,0.0932,0.3541,12,,,,0.4276,0.3305,0.4674,0.1072,0.5776,,,0.555,0.5422,0.3065,4,46,0.75,Synthetic Region Group C,0
synthetic-00432,,,,,0.627,57,0.1138,,0.3208,0.564,,0.545,,,0.5229,0.5508,0.2783,4,50,0.6,Synthetic Region Group D,0
synthetic-00433,0.7508,0.0922,0.2956,12,0.8356,65,0.0661,0.786,0.2656,0.8796,0.0996,0.8512,0.7541,0,0.8328,0.8004,0.2183,0,65,1,Synthetic Region Group A,1
synthetic-00434,0.6797,0.1073,0.3151,12,0.6053,51,0.118,0.6626,,,0.0651,0.6117,0.7323,0,0.6272,0.7342,0.2939,0,53,0.9,Synthetic Region Group B,1
synthetic-00435,0.5132,0.1393,0.3388,12,0.4262,44,0.1036,0.4375,0.3178,0.5207,0.1342,0.4619,0.5104,5,0.5279,0.512,0.4041,4,46,1,Synthetic Region Group C,1
synthetic-00436,0.6515,0.0733,0.2985,7,0.5027,50,0.0762,0.6348,,,0.121,0.6207,0.5134,6,0.5578,0.566,0.3717,3,52,0.9,Synthetic Region Group D,0
synthetic-00437,0.8786,0.0446,0.3316,12,0.8861,61,0.0232,0.7769,0.2893,0.8811,0.0003,0.838,0.7423,0,0.8389,0.7432,0.3144,0,69,1,Synthetic Region Group A,1
synthetic-00438,0.6598,0.0911,0.3308,12,0.5916,61,0.0418,0.616,0.3555,0.6112,0.0877,0.6817,0.6802,1,0.6129,0.5934,0.2857,0,53,1,Synthetic Region Group B,1
synthetic-00439,0.4491,0.0798,0.3328,12,0.5059,42,0.1416,0.4522,0.3048,0.4786,0.0945,0.5015,0.4434,4,0.4273,0.4213,0.4453,4,44,1,Synthetic Region Group C,0
synthetic-00440,0.511,0.0803,0.3504,7,0.5899,58,0.0757,,0.3457,0.5369,,0.5867,0.6582,2,0.5098,0.5141,0.333,3,50,0.9,Synthetic Region Group D,1
synthetic-00441,0.7948,0.0467,0.2434,12,0.8968,69,0.0278,0.8714,0.3039,0.7832,0.0189,0.8665,0.8003,0,0.7964,0.7581,0.2715,0,66,1,Synthetic Region Group A,1
synthetic-00442,0.5923,0.1164,0.2569,12,0.6006,55,0.0938,0.7029,0.3009,0.5905,0.1066,0.732,0.6938,0,0.5896,0.7037,0.2795,1,59,1,Synthetic Region Group B,1
synthetic-00443,0.5631,0.1245,0.3665,12,0.5682,49,0.1427,,,,,0.4524,0.5228,3,0.5649,0.5021,0.3489,4,52,0.8,Synthetic Region Group C,1
synthetic-00444,0.5871,0.0851,0.3136,7,0.5301,55,0.0502,,,,,,0.6015,6,,,,,48,0.55,Synthetic Region Group D,0
synthetic-00445,0.8222,0.0908,0.3279,12,0.8298,63,0.0995,0.8364,0.2295,0.8522,0.025,0.7497,0.7878,0,0.8218,0.8459,0.2319,0,69,1,Synthetic Region Group A,1
synthetic-00446,0.6946,0.0572,0.3264,12,0.6874,60,0.0422,0.6667,0.3498,0.5951,0.1148,0.7317,0.7356,1,0.6598,0.5862,0.2751,0,61,1,Synthetic Region Group B,1
synthetic-00447,0.5273,0.0636,0.3589,12,0.424,47,0.1315,0.5787,0.3252,0.5357,0.1215,0.5682,0.4649,3,0.535,0.5036,0.3657,2,51,1,Synthetic Region Group C,1
synthetic-00448,0.6204,0.1416,0.3052,7,0.6045,54,0.0742,,0.2767,0.5037,,,,,,,,,56,0.55,Synthetic Region Group D,0
synthetic-00449,0.7581,0.0533,0.3159,12,0.7743,65,0.0171,0.8207,0.3525,0.856,0.0882,0.8126,0.8562,0,0.8534,0.8803,0.3394,0,65,1,Synthetic Region Group A,1
synthetic-00450,0.5878,0.1207,0.3634,12,0.6912,60,0.0812,,0.287,0.6759,,0.6554,0.7227,4,0.5899,0.6025,0.3611,2,53,0.9,Synthetic Region Group B,1
synthetic-00451,0.4289,0.149,0.4051,12,0.5177,42,0.092,0.4318,0.3611,0.487,0.0411,0.5247,0.5426,5,0.5148,0.4878,0.4258,2,43,1,Synthetic Region Group C,0
synthetic-00452,0.6348,0.1285,0.2895,7,0.5427,47,0.0913,0.5314,0.3037,0.5709,0.0872,0.5418,0.6154,1,0.5687,0.619,0.3613,0,56,1,Synthetic Region Group D,1
synthetic-00453,0.8529,0.059,0.2294,12,0.8818,63,0.0278,0.7913,0.3032,0.8579,0.0887,0.8202,0.8202,0,0.829,0.7976,0.2265,0,70,1,Synthetic Region Group A,1
synthetic-00454,0.6861,0.118,0.3765,12,0.5941,52,0.0668,0.6301,0.3535,0.6556,0.0729,0.6073,0.6103,4,0.6108,0.674,0.249,0,54,1,Synthetic Region Group B,1
synthetic-00455,0.5027,0.1149,0.3602,12,0.5537,45,0.1081,0.4352,0.4096,0.4947,0.1204,0.4765,0.4579,4,0.4423,0.4577,0.3377,4,45,1,Synthetic Region Group C,0
synthetic-00456,0.5538,0.1353,0.3467,7,0.5915,52,0.0998,,0.4257,0.5218,,0.6129,0.5985,1,0.6601,0.5642,0.3578,2,53,0.9,Synthetic Region Group D,1
synthetic-00457,0.789,0.0631,0.3092,12,0.857,61,0.0256,0.8519,,,0.0096,0.8754,0.7418,0,0.8776,0.7984,0.2109,0,68,0.9,Synthetic Region Group A,1
synthetic-00458,0.7034,0.1084,0.2416,12,0.7269,51,0.0956,0.6649,0.2679,0.6695,0.0396,0.6628,0.6561,2,0.6011,0.5965,0.3356,3,61,1,Synthetic Region Group B,1
synthetic-00459,0.4927,0.0869,0.4152,12,0.4559,50,0.0731,0.5533,0.3992,0.519,0.1317,0.4951,0.4505,5,0.5003,0.4779,0.3166,2,44,1,Synthetic Region Group C,0
synthetic-00460,0.5055,0.0714,0.3234,7,0.5361,49,0.1346,,,,,0.5636,,,0.5643,0.5713,0.3246,2,52,0.7,Synthetic Region Group D,0
synthetic-00461,0.74,0.1123,0.2878,12,0.819,58,0.0342,0.8354,0.2509,0.8982,0.0506,0.8007,0.799,0,0.8074,0.86,0.2334,0,69,1,Synthetic Region Group A,1
synthetic-00462,0.6593,0.0392,0.3131,12,0.661,58,0.0472,0.7223,0.3097,0.6389,0.1057,0.6357,,,0.6895,0.7392,0.4057,2,52,0.9,Synthetic Region Group B,1
synthetic-00463,0.4538,0.1046,0.3663,12,0.4895,46,0.0896,0.5216,0.4393,0.5066,0.064,0.4538,0.4673,6,0.5113,0.5658,0.3093,5,44,1,Synthetic Region Group C,0
synthetic-00464,0.5351,0.0596,0.387,7,0.4995,58,0.1176,,0.2889,0.6424,,0.5466,0.5983,4,0.5221,0.5942,0.3062,1,54,0.9,Synthetic Region Group D,1
synthetic-00465,0.7495,0.0639,0.2542,12,0.836,67,0.1032,0.855,0.2049,0.8632,0.0044,0.8417,0.8251,0,0.776,0.863,0.3552,0,61,1,Synthetic Region Group A,1
synthetic-00466,0.6849,0.0699,0.2457,12,0.6781,60,0.0538,0.6548,0.3012,0.6765,0.0918,0.6852,0.6941,1,0.6485,0.7365,0.2572,1,56,1,Synthetic Region Group B,1
synthetic-00467,0.4821,0.1322,0.4543,12,0.4667,50,0.0794,0.5251,0.3366,0.4955,0.1045,0.4307,0.5458,6,0.5781,0.5234,0.3689,2,50,1,Synthetic Region Group C,1
synthetic-00468,0.6571,0.1046,0.3355,7,0.5488,55,0.0819,,0.316,0.6401,,0.5664,0.5072,5,0.6533,0.6046,0.4,3,55,0.9,Synthetic Region Group D,1
synthetic-00469,0.7504,0.0225,0.2725,12,0.7978,67,0.0597,0.8822,0.2685,0.8899,0.0144,0.8551,0.8958,0,0.7671,0.7581,0.2314,0,71,1,Synthetic Region Group A,1
synthetic-00470,0.6194,0.0901,0.2658,12,0.6305,57,0.1099,0.6004,0.2745,0.5809,0.0797,,0.7289,2,,,,,59,0.75,Synthetic Region Group B,1
synthetic-00471,0.5483,0.1345,0.3186,12,0.4651,47,0.0905,0.579,0.3701,0.4462,0.0595,0.5047,0.5107,2,0.5264,0.5564,0.3224,4,48,1,Synthetic Region Group C,1
synthetic-00472,0.6157,0.1449,0.3787,7,0.6235,53,0.0847,0.5851,0.3252,0.5093,0.081,,,,,,,,47,0.65,Synthetic Region Group D,0
synthetic-00473,0.8456,0.0775,0.2401,12,0.7736,63,0.0885,0.7576,0.2169,0.7971,0.0172,0.8629,0.7528,0,0.8535,0.7779,0.258,0,68,1,Synthetic Region Group A,1
synthetic-00474,0.6788,0.0981,0.3577,12,0.6865,54,0.0305,0.7315,0.324,0.6279,0.0862,0.6895,0.6195,0,0.6611,0.6464,0.3342,1,59,1,Synthetic Region Group B,1
synthetic-00475,0.4742,0.0838,0.3008,12,0.5793,49,0.1072,0.4916,0.3608,0.5718,0.1269,0.5601,,,0.5542,0.5736,0.424,4,43,0.9,Synthetic Region Group C,0
synthetic-00476,0.552,0.0913,0.4272,7,0.5348,48,0.048,0.5861,,,0.0282,,,,,,,,50,0.55,Synthetic Region Group D,0
synthetic-00477,0.8211,0.0947,0.2524,12,0.7471,63,0.085,,0.3421,0.8577,,0.7591,0.8325,1,0.8075,0.7989,0.2691,0,67,0.9,Synthetic Region Group A,1
synthetic-00478,0.6378,0.0955,0.3731,12,0.7053,61,0.1129,0.6234,0.2958,0.5883,0.1032,0.7212,0.6672,0,0.5941,0.6281,0.2637,1,59,1,Synthetic Region Group B,1
